time,offset,time_ms
12:00:00 AM,-8,-28800000
12:30:00 AM,-7.5,-27000000
01:00:00 AM,-7,-25200000
01:30:00 AM,-6.5,-23400000
02:00:00 AM,-6,-21600000
02:30:00 AM,-5.5,-19800000
03:00:00 AM,-5,-18000000
03:30:00 AM,-4.5,-16200000
04:00:00 AM,-4,-14400000
04:30:00 AM,-3.5,-12600000
05:00:00 AM,-3,-10800000
05:30:00 AM,-2.5,-9000000
06:00:00 AM,-2,-7200000
06:30:00 AM,-1.5,-5400000
07:00:00 AM,-1,-3600000
07:30:00 AM,-0.5,-1800000
08:00:00 AM,0,0
08:30:00 AM,0.5,1800000
09:00:00 AM,1,3600000
09:30:00 AM,1.5,5400000
10:00:00 AM,2,7200000
10:30:00 AM,2.5,9000000
11:00:00 AM,3,10800000
11:30:00 AM,3.5,12600000
12:00:00 PM,4,14400000
12:30:00 PM,4.5,16200000
01:00:00 PM,5,18000000
01:30:00 PM,5.5,19800000
02:00:00 PM,6,21600000
02:30:00 PM,6.5,23400000
03:00:00 PM,7,25200000
03:30:00 PM,7.5,27000000
04:00:00 PM,8,28800000
04:30:00 PM,8.5,30600000
05:00:00 PM,9,32400000
05:30:00 PM,9.5,34200000
06:00:00 PM,10,36000000
06:30:00 PM,10.5,37800000
07:00:00 PM,11,39600000
07:30:00 PM,11.5,41400000
08:00:00 PM,12,43200000
08:30:00 PM,12.5,45000000
09:00:00 PM,13,46800000
09:30:00 PM,13.5,48600000
10:00:00 PM,14,50400000
10:30:00 PM,14.5,52200000
11:00:00 PM,15,54000000
11:30:00 PM,15.5,55800000
